CodEstablecimiento;nombreComercial;Direccion;ReferenciaDireccion;telefonoPrincipal;telefonoSecundario;CorreoElectronico;delivery;paginaWeb;CodProvincia;CodComercial;CodClasificacion;CodCategoria
13137;CONO PIZZA;9 DE ABRIL Y AZUAY;null;991492269;null;galo_montoya@hotmail.com;Si;null;02;0100;0015;044
13138;SABROSON EL ;JOSE MASCOTE # 1204 Y LUQUE;null;2364445;null;null;Si ;null;09;0100;0028;020
13139;CH 7 GRILL;Noruega E10-11 y Moscu;3 CUADRAS DEL PARQUE LA CAROLINA;22230831;997381147;ch7grill@gmail.com;Si ;null;17;0100;0028;045
13140;HOSTAL CENTRAL;SANCHEZ DE ORELLANA SN PADRE SALCEDO;FRENTE AL PARQUE VICENTE LEON;032801310;0998352395;hotelcentralatacunga@hotmail.com;No;null;05;0101;0017;012
13141;NOCHES DE QUITO;Jorge Washington E5-29 y reina victoria;FRENTE AL MERCADO ARTESANAL;22222388;22234855;gerencia@nochesdequito.com;No;www.nochesdequito.com;17;0101;0017;012
13142;HELECHOS DEL GUAYABAL;CDLA. LOTIZACION ALTA GRACIA, CALLE PRINCIPAL;null;052952614;null;oswaldozamora@yahoo.com;Si;null;12;0100;0028;039
13143;LAS AUTÉNTICAS EMPANADAS DE MOROCHO DE LA RONDA;Juan de Dios Morales oe3-10 y Guayaquil;LA RONDA;0;22869243;bryanandyc@gmail.com;Si ;null;17;0100;0007;039
13144;MIRAFLORES CAYAMBE;AV. NATALIA JARRIN OE7-46 ROSALIA ARTEAGA;null;022111263;0999905854;agualas@hotmail.com;No;www.hostalmiraflorescayambe.com;17;0101;0017;011
13145;LAS MENESTRAS DE LA 20 DE JUNIO ;AV. 20 DE JUNIO No. 707 Y VENEZUELA;null;062830213;null;null;Si ;null;21;0100;0028;044
13146;ORKIDEA LODGE;Chorreras s/d Chorreras; En Chorreras km 12 de la vía Puyo- Macas desvio de 5 km al margen derecho ;0994962240;033031290;marcoacost@gmail.com;No;www.orkidealodge.com;16;0101;0037;013
13147;Treasure of Galàpagos;Calle Enrrique Fuentes (Saigon);null;null;null;jgteran@andinanet.net;No;null;20;0106;0034;046
13148;CORMORANT FLIGTHLESS;AV. CHARLES DARWIN S/N 12 DE FEBRERO;null;052524343;0968381420;hostalcormorant2016@outlook.com;No;null;20;0101;0017;013
13149;CASA GRANDE FINDI;VENEZUELA s/n 10 DE AGOSTO; La Hosteria Casa Grande Findi se encuentra en la ciudad de Shushufindi, en el Barrio el Cisne, detrás de la Inglesi de la Virgen del Cisne. ;0994334312;062839648;patogomez75@hotmail.com;No;null;21;0101;0037;013
13150;EL PAP;Jose Tamayo N21-157 Vicente Ramon Roca;FRENTE AL COLEGIO MARIANA DE JESUS;0;0;ab.xavier_estevez@hotmail.com;Si;null;17;0100;0028;040
13151;RUSTICO EL ;CALLE 50 Y MALECÓN ;null;052340259;null;modesta.cedeno@hotmail.com;Si ;null;13;0100;0028;044
13152;CAFE FLOR;30 DE SEPTIEMBRE Y MOISES ARAY;null;092129452;null;null;Si ;null;13;0100;0028;044
13153;THE STONES 93;DECIMA TERCERA # 1306 Y BOLIVAR;null;095881569;null;mmondragonorte@gmail.com;Si;null;12;0100;0028;039
13154;LOS GERANIOS TAPAS Y VINOS;Morales OE1-134 y Guayaquil;LA RONDA;22956035;985606645;restaurante_casalosgeranios12@hotmail.com;Si ;null;17;0100;0028;040
13155;DANUBIO;S18B e10-259 y Av. Simón Bolívar;null;23080357;997184619;danubio.uio@hotmail.com;No;null;17;0101;0017;011
13156;CHOZA LA;AV. CHONE KM. 34 FRENTE A LA PLAZA CÍVICA;null;2660889;null;null;Si ;null;13;0100;0028;044
13157;LOS CEBICHES DE LA RUMIAHUI;De Los Alamos E8-159 y Av. 6 De Diciembre;A UNA CUADRA DEL COLEGIO LOS SHYRIS;23264508;23264508;loscebichesdelaruminahui.com;Si;null;17;0100;0028;045
13158;"PARADOR ""EL DESCANSO DEL CONDUCTOR..";Vía Quevedo  2220 Pasaje sin nombre; Vía Quevedo km 4 1/2-  ;0989211518;0989211961;anacasteloll@gmail.com;No;null;23;0101;0017;012
13159;EL CASTILLO;CALLE ALBATROS - CALLE ISABELA;null;052524610;0990244747;oswaldovillon@hotmail.es;No;www.galapagoselcastillo.com;20;0101;0017;013
13160;MATUTE DISCOTECA;MANUEL MICHELENA 0E5-263 Y ALBERTO ORELLANA;DIAGONAL A ALMACENES CRÉDITOS ECONÓMICOS;958915822;995169439;feea76@hotmail.com;No;null;17;0100;0013;047
13161;SANDRITA;BARRIO SELVA ALEGRE FRANCISCO GUARDERAS 787;null;2870803;null;null;Si ;null;17;0100;0028;020
13162;RESIDENCIA CHEF SHERATUN;AV. ABRAHAM CALAZACON 11 ESMERALDAS;A DIEZ METROS DE FARMACIA CRUZ AZUL;023778388;0990489073;sukijavi@hotmail.com;No;null;23;0101;0017;013
13163;POSADA PELICANO ;CIUDADELA LA MILINA AVENIDA PRINCIPAL A UNA CUADRA DE TV CABLE;null;042931525;null;null;No;null;24;0101;0037;044
13164;CHIFA RUBI # 2;VENEZUELA # 2702Y BABAHOYO;null;Null;null;null;Si ;null;09;0100;0028;020
13165;CHIFA RUBI;PORTETE # 2326 ENTRE TULCAN Y CARCHI;null;Null;null;null;Si;null;09;0100;0028;044
13166;LAS KATITAS;11 D ENOVIEMBE S2-47 Y BARRIGA ;null;2316874;null;null;Si ;null;17;0100;0028;020
13167;POLLO A LA LEÑA;VELEZ 801 Y LORENZO DE GARAICOA ( ESQ.);null;2329855;null;elsacalle42@hotmail.com;Si ;null;09;0100;0028;044
13168;CHARLOT;CALLE DOMINGO COMIN ENTRE 24 DE MAYO Y 9 DE OCTUBRE;null;2700810;null;carlosvalro2011@gmail.com;Si;null;14;0100;0028;044
13169;OCEAN SPRAY;AV ARMADA NACIONAL;null;052252031;null;null;No;null;20;0106;0034;046
13170;QUINTA LA BOHEMIA;maría anderson e4-08 Y SN;null;994909179;994909179;monicagalarraga26@gmail.com;No;null;17;0103;0030;039
13171;PAIS LIBRE;FILOMENO HERNANDEZ;null;5261638;null;info@paislibre.com;No;www.hotelpaislibre.com;13;0101;0017;039
13172;BRUNO´S BRATWURST;GEOVANNY FARINA 288 E ILALO;null;2607054;null;null;Si ;null;17;0100;0015;044
13173;LAS CONCHITAS ASADAS DE LA COSTANERA;La Isla Floreana N41-11 e Isla Fernandina;ATRAS DE CENTRAL TÉCNICO;22465444;999804496;info@lasconchitasasadas.com;Si ;null;17;0100;0028;040
13174;LOCOS POR UN MOTE;OLMEDO OE5-15 y GARCíA MORENO;A UNA CUADRA DE LA ANTIGUA RADIO TARQUI;995347993;995347993;kroline_pp@hotmail.com;Si;null;17;0100;0028;040
13175;BETITO;CALLE PRINCIPAL;null;Null;null;null;Si ;null;24;0100;0028;044
13176;CANGREJAL DE MAMI SUSI EL ;VICTOR MANUEL RENDON 924 ENTRE RUMICHACA Y LORENZO DE GARAYCOA;null;Null;null;null;Si ;null;09;0100;0028;044
13177;HELADOS DEL TÍO;AV. GRAN COLOMBIA N14-155 N1 Y PIEDRAHITA;FRENTE AL HOSPITAL EUGANIO ESPEJO;22586076;997823601;isabelcaminoa@gmail.com;Si;null;17;0100;0007;036
13178;DELIGOURMET DEL TÍO;GUAYAQUIL N11-56 Y MONTÚFAR;DIAGONAL AL EXCINE ALAMBRA;958742152;985381157;kroline_pp@hotmail.com;Si ;null;17;0100;0007;036
13179;HACIENDA HATO VERDE;Panamericana Norte Km 13 S/N Entrada A Mulaló; Sobre la Panamericana Sur (E35) pasar fabrica Novacero (KM 331) que se encuentra a mano derecha. Avanzar 2.5 Km hasta el nuevo intercambiador, cruzar el puente y a mano derecha seguir la vía de retorno a Quito (Tomar nuevamente la Panamericana).<br /> Regresar hasta fabrica Novacero (KM 331) y tomar el carril de la derecha para coger el camino de entrada a Mulaló que se encuentra justo debajo del paso peatonal.<br /> Avanzar 700 mts. En la primera calle virar a mano derecha (camino de piedra y árboles). Avanzar 150 mts. ;032719348;0994963400;haciendahatoverde@hotmail.com;No;null;05;0101;0037;013
13180;PARRILLADAS EL RODEO;Av. Machala OE6-32 y Cristobal Vaca de Castro;A 2 CUADRAS DEL PARQUE INGLES;22680565;22591738;parrilladaselrodeo@hotmail.com;Si ;null;17;0100;0028;045
13181;LAS FRITADAS DE LA OLMEDO;Olmedo OE4-46 y Venezuela;FRENTE A COMIDA TIPICA DAVID;22643617;998112897;jessydnew@hotmail.com;Si;null;17;0100;0028;040
13182;EL BALCÓN;RÍo de Janeiro N16-87 y Salinas;PISO: PB. SECTOR: DIAGONAL AL ANTIGUO SEGURO SOCIAL;22566364;23215891;fausjava47@hotmail.com;No;null;17;0101;0017;012
13183;BIG.S RESTAURANT;AV. AMAZONAS  E31-23 y AZUAY;MEDIA CUADRA CENTRO DE EXPOSICIONES;22439149;961211020;freddortega71@gmail.com;Si ;null;17;0100;0028;040
13184;MASTER SERV´S;Jorge Garces N64-141 y Angel Salazar;JUNTO AL BANCO PICHINCHA;23280179;997794658;santos2860@hotmail.com;Si ;null;17;0100;0028;045
13185;CATACOCHA;Av. Policia Nacional  0 Rocafuerte;null;062839199;0998878608;cristobalceli54@hotmail.com;No;null;21;0101;0017;011
13186;PUNTO EL;VICENTE ROCAFUERTE Y GUIDO CHIRIBOGA;null;2060113;null;null;Si;null;24;0100;0028;044
13187;MATILDE LA;VIA A  AMAGUAÑA - TAMBILLO;null;Null;null;null;Si;null;17;0100;0028;039
13188;ROTONDA;PASAJE OE5A S11-42 y AV. MICHELENA;A LADO DE LA DISCOTECA ZAB;+59322955200;+593991003679;gamboalesley59@gmail.com;No;null;17;0100;0013;049
13189;ROKA HOUSE;JULIO ANDRADE 3-171 Y JOSÉ MIGUEL LEORO;null;992067610;null;null;Si ;null;10;0100;0007;044
13190;ORIENTE;Juan Larrea N13-169 y Checa;A DOS CUADRAS DEL COLEGIO MEJIA;22230932;22230932;yolandaiza1957@gmail.com;No;null;17;0101;0017;011
13191;EL GERANEO;Gonzalo Cabezas S10-672 Av. Tnte. Hugo Ortiz;A MEDIA CUADRA DE LA UNION DE TAXIS;22659487;996025126;rociopa1@hotmail.com;No;null;17;0101;0017;012
13192;PETROMART;AV.MALDONADO S60-471 Y FLORENCIA;null;3007213;null;cosmedic.sh@hotmail.com;Si ;null;17;0100;0015;044
13193;MARQUES;VIA QUEVEDO KM 3 1/2 S/N BY PASS CHONE QUEVEDO;JUNTO A LA FERRETERIA EL COLORADO;023775109;0997775641;null;No;null;23;0101;0018;012
13194;MR. PIG;CALLE ROBERTO LUIS CERVANTES ;null;062151157;null;null;Si;null;08;0100;0028;044
13195;MOCHINO CAFFE Y GELATO;AV INTEROCEANICA Y (C.C. SCALA SHOPPING);null;22443229;null;null;Si ;null;17;0100;0015;039
13196;MOCHINO CAFEE Y GELATO;AV. AMAZONAS N36-152 Y AV. NN.UU(C.C.I);null;097047709;null;smosquera@crepesywaffles-ec.com;Si ;null;17;0100;0015;044
13197;MOCHINO CAFEE Y GELATO;AV. DE LA PRENSA S/N Y AV.  KENNEDY C.C. EL CONDADO - PATIO DE COMIDAS;null;099847835;null;null;Si;null;17;0100;0015;035
13198;KSA D PIA;SECTOR EL ARENAL SN VIA A POSORJA KM 4.5;A UNA CUADRA DEL CENTRO DE EVENTOS LAS VALENTINAS;046044499;0994062600;rigail.sayan@gmail.com;No;www.ksadpia.com;09;0101;0017;011
13199;VILLA SANTORINI;PATRICIO ROMERO OE6-74 Y CALLE A;A UNA CUADRA DEL COMPLEJO DEPORTIVO DEL COLEGIO DE ARQUITECTOS;22390737;999700378;ana.maria.tamayo@hotmail.com;No;null;17;0103;0030;035
13200;RESIDENCIAL ..EL VIAJERO..;VIA INTEROCEANICA S/N SANTA CATALINA;A DOS CUADRAS DE LA POLICIA;062895001;0987588512;casaviajero2017@gmail.com;No;null;15;0101;0017;011
13201;VILLA DA FIORE;Camino a Chiciqui 2456 y Pasaje A;ANTIGUA VÍA A TABABELA;22376097;998711546;jorgeo_vergara@hotmail.com;No;www.villadafiore.com.ec;17;0101;0016;013
13202;QUINO;ROCA 7-40 Y JUAN MONTALVO;null;2924994;null;null;Si ;null;10;0100;0028;044
13203;SANTVAL LODGE;KM 16 S/N SIN INTERSECCION;A DOSCIENTOS METROS DE LA ESCUELA, CASA DE DOS PISOS COLOR BLANCO CON LADRILLO VISTO;0968838559;0968838559;gonzasanti1@yahoo.com;No;www.ecohosteriasantval.com;06;0101;0019;013
13204;SAN CARLOS TABABELA;jUSTO COELLO OE1-245 y TULIO GARZóN;A UNA CUADRA DEL PARQUE CENTRAL DE TABABELA.;23599057;987011484;info@hosteriasancarlos.com;No;null;17;0101;0037;013
13205;MARISQUERIA DON FERNI;Esmeraldas OE4-35 y Venezuela;A CINCUENTA METROS DE LA CLINICA SANTA BARBARA;994443811;980510592;fetoskalariak@hotmail.com;Si ;null;17;0100;0028;021
13206;LAGUNA  ;VÌA CHONE KM 41/2  MARGEN IZQUIERDO A 200NMETROS DEL CONTROL DE TRANSITO SAN JACINTO DEL BUA ;null;985907927;null;complejo_la_laguna@hotmail.com;No;null;23;0105;0032;039
13207;DE WILLY;EUGENIO ESPEJO 201 OÑA; El establecimiento BAR DE WILLY se encuentra en la ciudad de Nueva Loja, a 400 metros de la EstaciYograve n de servicios Lago Agrio. ;0999195079;062831133;manelly_cg0@yahoo.es;No;null;21;0100;0004;002
13208;TOMYS LAS COSTILLAS ;QUISQUIS 1602 ENTRE CARCHI Y TUNGURAHUA;null;Null;null;null;Si;null;09;0100;0028;044
13209;TURISTA EL;KM. 1 VÍA A STO. DOM.;null;2736784;null;hostalyhotelturista@hotmail.com;No;null;08;0101;0018;044
13210;TURISTA Nº 2 EL ;BARRIO TELEMBI;null;Null;null;null;No;null;08;0101;0018;039
13211;D. MARCO;RIO BABA 146 RIO MULAUTE; VIA A QUITO-  - FRENTE AL CUERPO BOMBEROS- -  ;0997101395;null;gamiro_2006@hotmail.com;Si ;null;23;0100;0028;001
13212;PARADERO LOS PIQUEROS ILALÓ;Ilaló 6 y los Piqueros;PISO: PB. SECTOR: A UNA CUADRA DEL COLEGIO APCH;22868190;0;segundo2014@gmail.com;Si ;null;17;0100;0028;021
13213;UMBRIA GOURMET;CALLE PRINCIPAL S/N A 1 KM DE ECO ROSAS - PANAMERICANA SUR;null;2314237;null;null;No;null;17;0101;0037;035
13214;LAS VA RI PARRILLADAS;13 de abril sn climaco rivadeneira; diagonal al polideportivo ;0996528132;072306581;hector_vargas53@hotmail.es;Si;null;14;0100;0028;001
13215;CAMPAMENTO TURISTICO LA GRAN CASCADA DEL PITA;VIA A PINTAG  S/N Y SN;MEDIA CUADRA DL TANQ D AGUA MOLINUCO;22870019;983934267;rnzambrano9173@gmail.com;No;null;17;0101;0008;019
13216;HOTEL MIRADOR SUPER CHINTO;JOSÉ BOSMEDIANO E14-194 Y PASAJE LAFAYETTE;A SEIS CUADRAS DEL CNE;22450778;958988650;mroxanacastilloa@gmail.com;No;www.hotelsuperchinto.com;17;0101;0018;012
13217;RESTAURANTE LAS PAPITAS DE LA RONDA;MORALES OE4-08 Y VENEZUELA;LA RONDA;987136867;986230743;marianagranda58@gmail.com;Si ;null;17;0100;0028;040
13218;MUY BUENO!!;LA PINTA E7-57 Y DIEGO DE ALMAGRO;FRENTE AL COLEGIO INTIYAN;987506281;987506281;herreramadre@hotmail.com;Si ;null;17;0100;0028;040
13219;HOSTAL ATOCHA 2;AV. REAL AUDIENCIA N55-09 Y CESAR BORJA LAVAYEN;CERCA DE ECUAVICHE;984588774;984588771;mercedesbenavides2016@gmail.com;No;null;17;0101;0017;011
13220;PLAYA SELVA;VIA A SAN PABLO;null;022891041;null;msilvaturismo@hotmail.com;No;null;15;0101;0037;044
13221;EL CAPUCHINO;Antonio de Ulloa N33-140 Rumipamba;SECTOR LA UTE;22273103;983888000;berthariascos58@gmail.com;Si;null;17;0100;0007;044
13222;HOSPEDAJE DE MAMI;VÍA A QUITO S/N AV.INTEROCEANICA VIA QUITO;JUNTO AL CONTROL POLICIAL DE GUAGRAYACU;062310345;0987987678;luis.perezmintur@gmail.com;No;null;15;0101;0017;011
13223;LA VIEJA ESTACIÓN;AV. EQUINOCCIAL e1-444 Y SHEIGUA;MITAD DEL MUNDO;987124953;987124953;yokyjar@hotmail.com;Si ;null;17;0100;0028;021
13224;RESTAURANT LAGO IMPERIAL;VIA COLOMBIA  1045 AV. QUITO ;FRENTE AL BANECUADOR;062830460;0997931900;hotellagoimperial@hotmail.com;No;www.hotellagoimperial.com;21;0101;0018;013
13225;EL FOGÓN PARRILLADAS DE AMAGUAÑA;Autopista Sangolquí Tambillo S/N y Juan Martínez;FRENTE A LA LIGA BARRIAL;22877094;984634349;elybeth009@hotmail.es;Si ;null;17;0100;0028;021
13226;CASITA DE TEJA;CHILE 129 Y GARCIA MORENO;null;2332405;null;null;Si;null;17;0100;0028;044
13227;LA RICA COMIDA COSTEÑA;Venezuela N11-231 y matovelle;JUNTO AL COLEGIO MATOVELLE;980383225;980383225;medranolauraadriana@gmail.com;Si ;null;17;0100;0028;040
13228;SU GOLISINA;AV. DEL PARAISO 1-36 Y LAS HERRERIAS;null;null;null;null;Si ;null;01;0100;0028;020
13229;GENOVA;29 de mayo 810 Ibarra;null;022759694;0967304610;hotelgenova@hotmail.com;No;null;23;0101;0017;011
13230;NINE DANIELS;OSCAR EFREN REYES Y BENJAMIN CARRION;null;2413359;null;ambavet@hotmail.com ;Si;null;18;0100;0028;044
13231;BELLAVISTA;VIA PRINCIPAL;null;2177109;null;null;Si;null;17;0100;0028;039
13232;CASA DEL CEIBO;JOSE OLAYA - VIA EL PROGRESO;null;520248;null;null;Si ;null;20;0100;0007;044
13233;ALOAG;VIA ALOAG - STO. DOMINGO DE LOS COLORADOS;null;Null;null;null;No;null;17;0100;0028;044
13234;CUCHARA DE PALO DE LA RONDA;JUAN DE DIOS MORALES OE1-113 y GUAYAQUIL;LA RONDA;995051927;995051927;miltonram739@hotmail.com;Si ;null;17;0100;0028;040
13235;HELADERIA DULCE  NIEVE;ESPEJO OE4-13 Y VENEZUELA;null;2510137;null;null;Si;null;17;0100;0015;044
13236;HELADERÍA DULCE NIEVE;Espejo OE4-13  y Venezuela;BAJO LA IGLESIA DE LA CATEDRAL;22510137;998310516;enriqueayepez@hotmail.com;Si ;null;17;0100;0007;036
13237;LA ESTANCIA II;AV. Abraham Calazacon S/N AV. Esmeraldas; Av. Abraham Calazacon y Av. Esmeraldas frente al terminal terrestre ;0993991023;null;gladyscaizaluisa17@gmail.com;No;null;23;0101;0017;011
13238;FRITADAS DEL INCA;Av. El Inca E11-45 y De Las Toronjas;A DOS CUADRAS DEL BANCO DEL PACÍFICO;22414575;998959058;hugogonzaloyanez@hotmail.com;Si ;null;17;0100;0028;045
13239;FRITADAS DEL INCA;De La Toronjas E12-14 Av. El Inca;A UNA CUADRA DE LA GASOLINERA PUMA;998959058;998959058;hugogonzaloyanez@hotmail.com;Si;null;17;0100;0028;045
13240;HOSTEL NOVEL;PARIS N42-149 y TOMáS DE BERLANGA;A UNA CUADRA DEK RESTAURANTE EMAUS;998771508;22247950;fabianvelarde@hotmail.com;No;null;17;0101;0017;011
13241;COMO DEBE DE SER;La NiÑa E6-23 Y Reina Victoria;null;22907900;22907900;pedro.montenegroz@hotmail.com;No;null;17;0100;0004;048
13242;ARCO IRIS;Malecón de la playa s/n Delfines; A lado del Hotel Costa Paraiso ;0998312255;062731450;suitesydepartamentos@yahoo.com;No;null;08;0101;0018;012
13243;RELICARIO LOMOS Y BRASA;CALLE TARQUI, FRENTE A LA CANCHA DE BASQUET DEL PARQUE MANUEL RAMOS;null;23743340;null;null;Si ;null;23;0100;0028;035
13244;COFFEE HOUSE;CALLE 52 S/N AVENIDA 11;A UN COSTADO DE LA IGLESIA DE SAN LORENZO;981558276;981558276;lizmoncayo@hotmail.com;Si ;null;24;0100;0007;003
13245;TAMBOCOCHA;25 DE JUNIO SN LAURO GUERRERO;FRENTE PARQUE CENTRAL;072683551;0993241773;jorgequevedoortega@hotmail.es;No;null;11;0101;0017;011
13246;LOS SANDUCHES DE LA PLAZA GRANDES;CHILE OE4-22 Y VENEZUELA;null;Null;null;null;Si;null;17;0100;0015;039
13247;LOS SÁNDUCHES DE LA PLAZA GRANDE;Chile OE4-36 y Venezuela;EXTERIOR PALACIO ARZOBISPAL;22959473;984606729;facturas@sanduchesplazagrande.com.ec;Si ;null;17;0100;0007;036
13248;EMBOBATE;AV. AMAZONAS N6-114 Y AV. REPÚBLICA;null;3520886;null;rrhh@luroski.ec;Si ;null;17;0100;0015;039
13249;ANANA;Ramirez DÁvalos   E3-30 Y Ulpiano PÁez;FRENTE A ENTRADA POSTERIOR CLINICA PICHINCHA;996076644;987963668;h_correa58@hotmail.com;Si;null;17;0100;0028;040
13250;LUXOR;FLAVIO REYES Y CALLE 20;null;Null;null;patiopuma02@outlook.es;No;null;13;0100;0004;039
13251;TROPICAL GRILL Y PIZZA;AV. FLAVIO REYES Y AV. 19;null;null;null;patiopuma02@onlook.es;Si ;null;13;0100;0028;044
13252;EURO DISCO MANTA;AV. FLAVIO REYES ENTRE AV. 22;null;null;null;patiopuma02@oulook.es;No;null;13;0100;0013;039
13253;RIO BLANCO AVENTURES;RIVERAS DEL RIO BLANCO;null;2525956;null;rafting@interactive.net.ec;No;null;17;0101;0037;035
13254;RIO BLANCO ADVENTURES;Vía las Mercedes s/n Río Blanco; Recinto Río Blanco / pasando el puente del Río Blanco e ingresando hacia el lado derecho. ;0987621608;0984448362;hosteriarioblanco@yahoo.com;No;null;17;0101;0037;013
13255;SOTAVENTO;VIA PRINCIPAL 12 CALLEJON A LA PLAYA;SECTOR LA PUNTA;042060023;0999325229;null;No;null;24;0101;0018;012
13256;ELPULPO.REST;SAN IGNACIO E10-114 Y PLáCIDO CAAMAÑO;DIAGONAL A ALMACENES ASHLEY POR LA SAN INGNACIO;0999494130;0986309086;caraullopez@gmail.com;Si ;null;17;0100;0028;040
13257;CAROLINA MONTECARLO;REINA VICTORIA N25-50 Y COLÓN;FRENTE AL BANCO DE GUAYAQUIL;22525121;983315772;hotelcarolinamontecarlo@gmail.com;No;www.hotelcarlinamontecarlo.com;17;0101;0018;013
13258;MOLINO TROPICAL ;VÍA YANGANA KILÓMETRO Y MEDIO SN SIN NOMBRE ;A UN KILOMETRO DE LA IGLESIA;Null;0958815396;carlosantonioquezada5@gmail.com;No;null;11;0101;0037;013
13259;OLIVO EL ;AV. 6 DE DICIEMBRE N33-282 Y AV. ELOY ALFARO;null;2261098;null;null;Si;null;17;0100;0015;044
13260;EL VIEJO Y EL MAR;MALECON S/N CALLE 19;A LADO DE LA HOSTERIA CASA GRANDE;052340458;0999733740;reecedmotumbo@yahoo.com;No;null;13;0101;0017;011
13261;MOTUMBO;MALECON Y COSTA AZUL;null;052340458;null;reecedmotumbo@yahoo.com;Si ;null;13;0100;0028;020
13262;CRUZITA;CALLE SUCRE S/N S/N;A UNA CUADRA DEL RESTAURANTE GAVIOTA;052340068;0999175296;flyraul2005@hotmail.com;No;null;13;0101;0017;011
13263;ALTAMAR;AVENIDA MALECON 1 AVENIDA 13 DE DICIEMBRE;A UNA CUADRA DE LA IGLESIA;042788083;0980750650;albeiroduq@hotmail.com;No;null;24;0101;0018;012
13264;EL TUNEL;HONORATO VAZQUEZ 6-80 PRESIDENTE BORRERO; Diagonal a la Plaza la Merced ;0985649120;072823109;joegarzonb@hotmail.com;Si ;null;01;0100;0028;001
13265;POLLOS A LA BRASA DON PATO;García Moreno 1423 y Pasaje B;null;22073173;22073173;jc-vasconezp@hotmail.com;Si;null;17;0100;0028;021
13266;CLUB SAN MARINO;ENTRADA PRINCIPAL SECTOR CASTELNOVO;null;062731331;null;null;No;null;08;0101;0017;039
13267;HOTEL RANCHO DE PECOS;GRAN COLOMBIA 24-20 NUEVE DE MAYO; a dos cuadras del estadio de El Guabo ;072950434;0997713025;ranchodepecos@hotmail.com;No;null;07;0101;0018;012
13268;COJIMÍES;BARRIO MIRAFLORES, CALLE ELOY ALFARO S/N;null;052391164;null;hotelcojimies@gmail.com;No;null;13;0101;0017;044
13269;CITTADINO;ESPEJO 19-23 Y VILLARROEL;null;032947487;null;pedrogaiborguerrerojavier1959@hotmail.com;Si ;null;06;0100;0028;020
13270;POP CORNER CONDADO;AV. DE LA PRENSA S/N Y KENNEDY;null;null;null;null;Si ;null;17;0100;0015;044
13271;MAC PATO;25 DE JUNIO E/GUAYAS Y AYACUCHO;null;null;null;null;Si;null;07;0100;0028;044
13272;BIFE EL;Principal 78 y Secundaria;null;22591827;0;elbife@hotmail.com;Si ;null;17;0100;0028;045
13273;CHILE LINDO EMPANADAS CHILENAS;AV MANUEL CORDOVA GALARZA N12-127 Y JUAN CALDERON;null;null;null;null;Si ;null;17;0100;0015;039
13274;LOS CEVICHES DE LAS GAVIOTAS;Luis Felipe Borja N15-245 y AV. Tarqui;PARQUE EL EJIDO;22555782;999777597;galojuca@hotmail.com;Si;null;17;0100;0028;045
13275;ORQUIDEAS LAS;CALLE LOS ROMEROS  No L3 Y MARIANA DE JESUS;null;2850388;null;null;Si ;null;17;0100;0028;044
13276;CHASKY KAFE;CALLE PANAMERICANA SUR  No.16 junto a la gasolinera amazonas;null;998501779;null;null;Si;null;17;0100;0028;044
13277;CHASKY KAFE;PANAMERICANA SUR No.16 JUNTO A LA GASOLINERA AMAZONAS KM.21;null;2309889;null;aerdna1207@hotmail.com;Si ;null;17;0100;0015;044
13278;SR. CEVICHE SRA CORVINA;AV. MALDONADO SN y MIGUEL CARRIÓN;FRENTE A LA ESTACIÓN DEL TROLEBUS;998933018;998345599;andregordonq@hotmail.com;Si;null;17;0100;0028;021
13279;SR. CEVICHE SRA. CORVINA;18 DE SEPTIEMBRE  N20 Y 10 DE AGOSTO;FRENTE AL PUENTE DEL GUAMBRA;998345599;983300954;andregordonq@hotmail.com;Si ;null;17;0100;0028;040
13280;NEPTALI´S BREAD CENTER;GENERAL IGNACIO DE VEINTIMILLA E4-203 Y AMAZONAS;JUNTO AL HOTEL REINA ISABEL;22507123;998038434;mjsalcedoaldaz@yahoo.com;Si ;null;17;0100;0007;036
13281;RESTAURANTE MANABITA DE ZORAIDA ;CDLA. DIQUE AMAZONAS AV. LOS ESTEROS MZ. 8 SL.8;null;2492532;null;null;Si;null;09;0100;0028;020
13282;QUICK JUICE Y DELICIAS PA . TI;LUIS CORDERO Y GRAL. ENRIQEZ C.C. RIVER MALL;null;2339862;null;null;Si ;null;17;0100;0015;035
13283;MOTES DE LA VACA DE CASTRO;AV. Cristobal Vaca de Castro OE3-73 y Hernán Cortés;DIAGONAL A POLLOS GUS;22824478;0;alexasept_66@hotmail.com;Si ;null;17;0100;0028;021
13284;D` LÒPEZ ;COOP.NUEVO SANTO DOMINGO CALLE PABLO NERUDA S/N Y JUAN BALAGUER ;null;022748008;null;null;Si;null;23;0100;0028;044
13285;ALIBA;MODESTO JARAMILLO Y QUITO;null;Null;null;null;No;null;10;0100;0004;044
13286;HOSTERIA SAN JOAQUIN;VIA ENTRADA PARQUE NACIONAL COTOPAXI SN SN;JUNTO A LA ENTRADA AL PARQUE NACIONAL COTOPAXI;032700211;0997014843;aliciafer58@hotmail.com;No;www.hosteriahaciendasanjoaquin.com.ec;05;0101;0037;013
13287;CEVICHERÍA DELICIAS DEL SUR;AV. MARISCAL SUCRE  S13-71 y ANTONIO CARRANZA;VILLAFLORA;23102476;987326888;lkyoudilan@hotmail.com;Si ;null;17;0100;0028;021
13288;EMPANADAS DE NICO;EL ORO 417 ENTRE DOMINGO COMIN Y R.B. DE ICAZA;null;990813677;null;consuelita_figueroa@hotmail.com;Si ;null;09;0100;0015;044
